,name,description
0,&,Start a new process in the background
1,alias,Create an alias •
2,apropos,Search Help manual pages (man -k)
3,apt,Search for and install software packages (Debian/Ubuntu)
4,apt-get,Search for and install software packages (Debian/Ubuntu)
5,aptitude,Search for and install software packages (Debian/Ubuntu)
6,aspell,Spell Checker
7,at,Schedule a command to run once at a particular time
8,awk,"Find and Replace text, database sort/validate/index"
9,basename,Strip directory and suffix from filenames
10,base32,Base32 encode/decode data and print to standard output
11,base64,Base64 encode/decode data and print to standard output
12,bash,GNU Bourne-Again SHell
13,bc,Arbitrary precision calculator language
14,bg,Send to background
15,bind,Set or display readline key and function bindings •
16,break,Exit from a loop •
17,builtin,Run a shell builtin
18,bzip2,Compress or decompress named file(s)
19,cal,Display a calendar
20,caller,Return the context of any active subroutine call •
21,case,Conditionally perform a command
22,cat,Concatenate and print (display) the content of files
23,cd,Change Directory
24,cfdisk,Partition table manipulator for Linux
25,chattr,Change file attributes on a Linux file system
26,chgrp,Change group ownership
27,chmod,Change access permissions
28,chown,Change file owner and group
29,chpasswd,Update passwords in batch mode
30,chroot,Run a command with a different root directory
31,chkconfig,System services (runlevel)
32,cksum,Print CRC checksum and byte counts
33,cmp,Compare two files
34,comm,Compare two sorted files line by line
35,command,Run a command - ignoring shell functions •
36,continue,Resume the next iteration of a loop •
37,cp,Copy one or more files to another location
38,cpio,Copy files to and from archives
39,cron,Daemon to execute scheduled commands
40,crontab,Schedule a command to run at a later time
41,csplit,Split a file into context-determined pieces
42,curl,Transfer data  from or to a server
43,cut,Divide a file into several parts
44,date,Display or change the date & time
45,dc,Desk Calculator
46,dd,"Data Duplicator - convert and copy a file, write disk headers, boot records"
47,ddrescue,Data recovery tool
48,declare,Declare variables and give them attributes •
49,df,Display free disk space
50,diff,Display the differences between two files
51,diff3,Show differences among three files
52,dig,DNS lookup
53,dir,Briefly list directory contents
54,dircolors,Colour setup for 'ls'
55,dirname,Convert a full pathname to just a path
56,dirs,Display list of remembered directories
57,dos2unix,Windows/MAC to UNIX text file format converter
58,dmesg,Print kernel & driver messages
59,dpkg,Package manager  (Debian/Ubuntu).
60,du,Estimate file space usage
61,echo,Display message on screen •
62,egrep,Search file(s) for lines that match an extended expression
63,eject,Eject removable media
64,enable,Enable and disable builtin shell commands •
65,env,Environment variables
66,eval,Evaluate several commands/arguments
67,exec,Execute a command
68,exit,Exit the shell
69,expand,Convert tabs to spaces
70,export,Set an environment variable
71,expr,Evaluate expressions
72,false,"Do nothing, unsuccessfully"
73,fdformat,Low-level format a floppy disk
74,fdisk,Partition table manipulator for Linux
75,fg,Send job to foreground
76,fgrep,Search file(s) for lines that match a fixed string
77,file,Determine file type
78,find,Search for files that meet a desired criteria
79,fmt,Reformat paragraph text
80,fold,Wrap text to fit a specified width
81,for,"Expand words, and execute commands"
82,fsck,File system consistency check and repair
83,ftp,File Transfer Protocol
84,function,Define Function Macros
85,fuser,Identify/kill the process that is accessing a file
86,gawk,Find and Replace text within file(s)
87,getopts,Parse positional parameters
88,getfacl,Get file access control lists
89,grep,Search file(s) for lines that match a given pattern
90,groupadd,Add a user security group
91,groupdel,Delete a group
92,groupmod,Modify a group
93,groups,Print group names a user is in
94,gzip,Compress or decompress named file(s)
95,hash,Remember the full pathname of a name argument
96,head,Output the first part of file(s)
97,history,Command History
98,hostname,Print or set system name
99,htop,Interactive process viewer
100,iconv,Convert the character set of a file
101,id,Print user and group id's
102,if,Conditionally perform a command
103,ifconfig,Configure a network interface
104,ifdown,Stop a network interface
105,ifup,Start a network interface up
106,import,Capture an X server screen and save the image to file
107,install,Copy files and set attributes
108,iostat,Report CPU and i/o statistics
109,ip,"Routing, devices and tunnels"
110,jobs,List active jobs •
111,join,Join lines on a common field
112,kill,Kill a process by specifying its PID
113,killall,Kill processes by name
114,klist,List cached Kerberos tickets
115,less,Display output one screen at a time
116,let,Perform arithmetic on shell variables •
117,link,Create a link to a file
118,ln,Create a symbolic link to a file
119,local,Create a function variable •
120,locate,Find files
121,logname,Print current login name
122,logout,Exit a login shell •
123,look,Display lines beginning with a given string
124,lpc,Line printer control program
125,lpr,Print files
126,lprm,Remove jobs from the print queue
127,lsattr,List file attributes on a Linux second extended file system
128,lsblk,List block devices
129,ls,List information about file(s)
130,lsof,List open files
131,lspci,List all PCI devices
132,man,Help manual
133,mapfile,Read lines from standard input into an indexed array variable •
134,mkdir,Create new folder(s)
135,mkfifo,Make FIFOs (named pipes)
136,mkfile,Make a file
137,mknod,Make block or character special files
138,mktemp,Make a temporary file
139,more,Display output one screen at a time
140,most,Browse or page through a text file
141,mount,Mount a file system
142,mtools,Manipulate MS-DOS files
143,mtr,Network diagnostics (traceroute/ping)
144,mv,Move or rename files or directories
145,mmv,Mass Move and rename (files)
146,nc,"Netcat, read and write data across networks"
147,netstat,Networking connections/stats
148,nft,nftables for packet filtering and classification
149,nice,Set the priority of a command or job
150,nl,Number lines and write files
151,nohup,Run a command immune to hangups
152,notify-send,Send desktop notifications
153,nslookup,Query Internet name servers interactively
154,open,Open a file in its default application
155,op,Operator access
156,passwd,Modify a user password
157,paste,Merge lines of files
158,Perf,Performance analysis tools for Linux
159,ping,Test a network connection
160,pgrep,List processes by name
161,pkill,Kill processes by name
162,popd,Restore the previous value of the current directory
163,pr,Prepare files for printing
164,printenv,Print environment variables
165,printf,Format and print data •
166,ps,Process status
167,pushd,Save and then change the current directory
168,pv,Monitor the progress of data through a pipe
169,pwd,Print Working Directory
170,quota,Display disk usage and limits
171,quotacheck,Scan a file system for disk usage
172,ram,ram disk device
173,rar,Archive files with compression
174,rcp,Copy files between two machines
175,read,Read a line from standard input •
176,readarray,Read from stdin into an array variable •
177,readonly,Mark variables/functions as readonly
178,rename,Rename files
179,return,Exit a shell function
180,rev,Reverse lines of a file
181,rm,Remove files
182,rmdir,Remove folder(s)
183,rsync,Remote file copy (Synchronize file trees)
184,screen,"Multiplex terminal, run remote shells via ssh"
185,scp,Secure copy (remote file copy)
186,sdiff,Merge two files interactively
187,sed,Stream Editor
188,select,Accept user choices via keyboard input
189,seq,Print numeric sequences
190,set,Manipulate shell variables and functions
191,setfacl,Set file access control lists.
192,sha256sum,Compute and check SHA256 (256-bit) checksums
193,shift,Shift positional parameters
194,shopt,Shell Options
195,shuf,Generate random permutations
196,shutdown,Shutdown or restart linux
197,sleep,Delay for a specified time
198,slocate,Find files
199,sort,Sort text files
200,source,Run commands from a file '.'  •
201,split,Split a file into fixed-size pieces
202,ss,Socket Statistics
203,ssh,Secure Shell client (remote login program)
204,stat,Display file or file system status
205,strace,Trace system calls and signals
206,su,Substitute user identity
207,sudo,Execute a command as another user
208,sum,Print a checksum for a file
209,suspend,Suspend execution of this shell •
210,sync,Synchronize data on disk with memory
211,tabs,Set tabs on a terminal
212,tail,Output the last part of a file
213,tar,"Store, list or extract files in an archive"
214,tee,Redirect output to multiple files
215,test,Evaluate a conditional expression
216,time,Measure Program running time
217,timeout,Run a command with a time limit
218,times,User and system times
219,tmux,Terminal multiplexer
220,touch,Change file timestamps
221,top,List processes running on the system
222,tput,"Set terminal-dependent capabilities, color, position"
223,traceroute,Trace Route to Host
224,trap,Execute a command when the shell receives a signal •
225,tr,"Translate, squeeze, and/or delete characters"
226,true,"Do nothing, successfully"
227,tsort,Topological sort
228,tty,Print filename of terminal on stdin
229,type,Describe a command •
230,ulimit,Limit user resources •
231,umask,Users file creation mask
232,unalias,Remove an alias •
233,uname,Print system information
234,unexpand,Convert spaces to tabs
235,uniq,Uniquify files
236,units,Convert units from one scale to another
237,unix2dos,UNIX to Windows or MAC text file format converter
238,unrar,Extract files from a rar archive
239,unset,Remove variable or function names
240,unshar,Unpack shell archive scripts
241,until,Execute commands (until error)
242,useradd,Create new user account
243,userdel,Delete a user account
244,usermod,Modify user account
245,users,List users currently logged in
246,uuencode,Encode a binary file
247,uudecode,Decode a file created by uuencode
248,vi,Text Editor
249,vmstat,Report virtual memory statistics
250,w,Show who is logged on and what they are doing
251,wait,Wait for a process to complete •
252,watch,Execute/display a program periodically
253,wc,"Print byte, word, and line counts"
254,whereis,"Search the user's $path, man pages and source files for a program"
255,which,Search the user's $path for a program file
256,while,Execute commands
257,who,Print all usernames currently logged in
258,whoami,Print the current user id and name ('id -un')
259,write,Send a message to another user
260,xargs,"Execute utility, passing constructed argument list(s)"
261,xdg-open,Open a file or URL in the user's preferred application.
262,xxd,Make a hexdump or do the reverse
263,xz,Compress or decompress .xz and .lzma files
264,yes,Print a string until interrupted
265,zip,Package and compress (archive) files
266,.,Run a command script in the current shell
267,!!,Run the last command again
268,###,Comment / Remark
